year,lgID,tmID,franchID,confID,divID,rank,playoff,G,W,L,T,OTL,Pts,SoW,SoL,GF,GA,GoalDif,name,PIM,BenchMinor,PPG,PPC,PP%,SHA,PKG,PKC,PK%,SHF
2002,NHL,ANA,ANA,WC,PC,2,F,82,40,27,9,6,95,,,203,193,10,Mighty Ducks of Anaheim,954,20,56,348,16.091954022988507,5,42,333,12.612612612612612,8
2002,NHL,ATL,WPG,EC,SE,3,,82,31,39,7,5,74,,,226,284,-58,Atlanta Thrashers,1253,26,64,371,17.25067385444744,14,65,355,18.30985915492958,8
2002,NHL,BOS,BOS,EC,NE,3,CQF,82,36,31,11,4,87,,,245,237,8,Boston Bruins,1370,24,59,325,18.153846153846153,11,65,375,17.333333333333336,10
2002,NHL,BUF,BUF,EC,NE,5,,82,27,37,10,8,72,,,190,219,-29,Buffalo Sabres,1276,30,51,354,14.40677966101695,11,53,363,14.600550964187327,8
2002,NHL,CAL,CAL,WC,NW,5,,82,29,36,13,4,75,,,186,228,-42,Calgary Flames,1391,22,47,389,12.082262210796916,10,65,389,16.709511568123396,5
2002,NHL,CAR,CAR,EC,SE,5,,82,22,43,11,6,61,,,171,240,-69,Carolina Hurricanes,1208,16,58,420,13.80952380952381,9,71,392,18.112244897959183,6
2002,NHL,CBS,CBS,WC,CE,5,,82,29,42,8,3,69,,,213,263,-50,Columbus Blue Jackets,1505,28,71,410,17.317073170731707,9,60,409,14.66992665036675,12
2002,NHL,CHI,CHI,WC,CE,3,,82,30,33,13,6,79,,,207,226,-19,Chicago Blackhawks,1189,30,39,308,12.662337662337661,8,56,369,15.176151761517614,8
2002,NHL,COL,COL,WC,NW,1,CQF,82,42,19,13,8,105,,,251,194,57,Colorado Avalanche,1084,24,68,363,18.732782369146005,6,63,359,17.548746518105848,5
2002,NHL,DAL,DAL,WC,PC,1,CSF,82,46,17,15,4,111,,,245,169,76,Dallas Stars,1166,28,62,327,18.960244648318042,6,50,346,14.450867052023122,9
2002,NHL,DET,DET,WC,CE,1,CQF,82,48,20,10,4,110,,,269,203,66,Detroit Red Wings,1214,26,76,319,23.824451410658305,4,55,377,14.588859416445624,11
2002,NHL,EDM,EDM,WC,NW,4,CQF,82,36,26,11,9,92,,,231,230,1,Edmonton Oilers,1203,16,56,386,14.507772020725387,8,61,351,17.37891737891738,13
2002,NHL,FLO,FLO,EC,SE,4,,82,24,36,13,9,70,,,176,237,-61,Florida Panthers,1127,26,49,347,14.121037463976945,9,66,356,18.53932584269663,7
2002,NHL,LAK,LAK,WC,PC,3,,82,33,37,6,6,78,,,203,221,-18,Los Angeles Kings,1146,50,52,354,14.689265536723164,4,62,371,16.711590296495956,8
2002,NHL,MIN,MIN,WC,NW,3,CF,82,42,29,10,1,95,,,198,178,20,Minnesota Wild,1063,28,52,366,14.207650273224044,5,43,308,13.96103896103896,9
2002,NHL,MTL,MTL,EC,NE,4,,82,30,35,8,9,77,,,206,234,-28,Montreal Canadiens,900,22,44,315,13.968253968253968,6,58,317,18.29652996845426,2
2002,NHL,NAS,NAS,WC,CE,4,,82,27,35,13,7,74,,,183,206,-23,Nashville Predators,969,20,58,418,13.875598086124402,8,61,353,17.280453257790366,2
2002,NHL,NJD,NJD,EC,AT,1,SC,82,46,20,10,6,108,,,216,166,50,New Jersey Devils,938,18,36,303,11.881188118811881,4,32,264,12.121212121212121,7
2002,NHL,NYI,NYI,EC,AT,3,CQF,82,35,34,11,2,83,,,224,231,-7,New York Islanders,1244,30,58,384,15.104166666666666,5,67,405,16.543209876543212,12
2002,NHL,NYR,NYR,EC,AT,4,,82,32,36,10,4,78,,,210,231,-21,New York Rangers,1308,14,55,339,16.224188790560472,8,73,388,18.814432989690722,8
