year,tmID,rank,playoff,G,W,L,Pts,GF,GA,Goal Dif,PIM,BenchMinor,PPG,PPC,PP%,SHA,PKG,PKC,PK%,SHF
1996,MTL,4,CQF,82,31,36,77,249,276,-27,1469,24,53,337,0.1573,11,71,347, 0.2046 ,10
1996,NJD,1,CSF,82,45,23,104,231,182,49,1135,4,40,288,0.1389,9,28,235, 0.1191 ,4
1996,NYI,7,,82,29,41,70,240,250,-10,1640,18,48,346,0.1387,9,53,319, 0.1661 ,14
1996,NYR,4,CF,82,38,34,86,258,231,27,1481,14,63,287,0.2195,5,69,344, 0.2006 ,15
1996,OTT,3,CQF,82,31,36,77,226,234,-8,1087,10,56,336,0.1667,12,48,265, 0.1811 ,9
1996,PHI,2,F,82,45,24,103,274,217,57,1699,8,53,362,0.1464,8,49,342, 0.1433 ,11
1996,PHO,3,CQF,82,38,37,83,240,243,-3,1582,16,65,359,0.1811,14,47,334, 0.1407 ,9
1996,PIT,2,CQF,82,38,36,84,285,280,5,1498,12,74,339,0.2183,12,64,338, 0.1893 ,11
1996,SJS,7,,82,27,47,62,211,278,-67,2085,6,50,349,0.1433,11,66,409, 0.1614 ,9
1996,STL,4,CQF,82,36,35,83,236,239,-3,1336,24,50,327,0.1529,8,55,332, 0.1657 ,9
1996,TBL,6,,82,32,40,74,217,247,-30,1686,10,47,340,0.1382,9,55,361, 0.1524 ,13
1996,TOR,6,,82,30,44,68,230,273,-43,1331,12,48,309,0.1553,8,59,328, 0.1799 ,11
1996,VAN,4,,82,35,40,77,257,273,-16,1607,22,51,303,0.1683,8,66,344, 0.1919 ,12
1996,WAS,5,,82,33,40,75,214,231,-17,1652,28,51,322,0.1584,10,54,354, 0.1525 ,8
1997,ANA,6,,82,26,43,65,205,261,-56,1843,10,46,392,0.1173,10,72,396, 0.1818 ,9
1997,BOS,2,CQF,82,39,30,91,221,194,27,1117,12,62,359,0.1727,3,44,285, 0.1544 ,5
1997,BUF,3,CF,82,36,29,89,211,187,24,1768,16,51,396,0.1288,12,65,413, 0.1574 ,15
1997,CAL,5,,82,26,41,67,217,252,-35,1859,10,43,356,0.1208,13,69,430, 0.1605 ,18
1997,CAR,6,,82,33,41,74,200,219,-19,1455,12,50,378,0.1323,10,58,391, 0.1483 ,8
1997,CHI,5,,82,30,39,73,192,199,-7,1546,12,47,364,0.1291,5,58,381, 0.1522 ,13
1997,COL,1,CQF,82,39,26,95,231,205,26,1729,24,74,425,0.1741,12,53,410, 0.1293 ,8
1997,DAL,1,CF,82,49,22,109,242,167,75,1301,14,77,385,0.2000,9,42,351, 0.1197 ,11
1997,DET,2,SC,82,44,23,103,250,196,54,1346,12,67,381,0.1759,7,51,376, 0.1356 ,8
1997,EDM,3,CSF,82,35,37,80,215,224,-9,1690,10,77,483,0.1594,11,66,406, 0.1626 ,10
1997,FLO,6,,82,24,43,63,203,256,-53,1676,20,55,409,0.1345,16,82,403, 0.2035 ,12
1997,LAK,2,CQF,82,38,33,87,227,225,2,1763,22,52,366,0.1421,12,63,399, 0.1579 ,10
1997,MTL,4,CSF,82,37,32,87,235,208,27,1547,16,68,372,0.1828,8,62,401, 0.1546 ,13
1997,NJD,1,CQF,82,48,23,107,225,166,59,1488,8,63,333,0.1892,9,41,309, 0.1327 ,4
1997,NYI,4,,82,30,41,71,212,225,-13,1646,10,61,364,0.1676,16,54,384, 0.1406 ,11
1997,NYR,5,,82,25,39,68,197,231,-34,1548,12,62,351,0.1766,13,55,376, 0.1463 ,0
1997,OTT,5,CSF,82,34,33,83,193,200,-7,1091,14,48,375,0.1280,9,47,303, 0.1551 ,6
1997,PHI,2,CQF,82,42,29,95,242,193,49,1766,18,71,399,0.1779,9,51,382, 0.1335 ,7
1997,PHO,4,CQF,82,35,35,82,224,227,-3,1602,20,57,384,0.1484,6,66,408, 0.1618 ,10
1997,PIT,1,CQF,82,40,24,98,228,188,40,1225,10,67,407,0.1646,16,46,338, 0.1361 ,11
1997,SJS,4,CQF,82,34,38,78,210,216,-6,1417,20,54,400,0.1350,5,59,398, 0.1482 ,10
1997,STL,3,CSF,82,45,29,98,256,204,52,1414,8,62,368,0.1685,4,49,367, 0.1335 ,12
1997,TBL,7,,82,17,55,44,151,269,-118,1823,12,33,353,0.0935,16,72,410, 0.1756 ,11
1997,TOR,6,,82,30,43,69,194,237,-43,1481,6,41,359,0.1142,13,50,372, 0.1344 ,5
1997,VAN,7,,82,25,43,64,224,273,-49,2166,18,48,373,0.1287,12,77,432, 0.1782 ,19
1997,WAS,3,F,82,40,30,92,219,202,17,1198,2,55,350,0.1571,4,39,361, 0.1080 ,14
1998,ANA,3,CQF,82,35,34,83,215,206,9,1323,14,83,378,0.2196,7,60,387, 0.1550 ,6
1998,BOS,3,CSF,82,39,30,91,214,181,33,1182,6,65,368,0.1766,9,33,305, 0.1082 ,3
1998,BUF,4,F,82,37,28,91,207,175,32,1561,16,49,363,0.1350,7,55,399, 0.1378 ,6
1998,CAL,3,,82,30,40,72,211,234,-23,1389,8,51,357,0.1429,6,78,386, 0.2021 ,12
1998,CAR,1,CQF,82,34,30,86,210,202,8,1158,10,42,382,0.1099,6,51,346, 0.1474 ,5
1998,CHI,3,,82,29,41,70,202,248,-46,1807,8,50,335,0.1493,10,80,405, 0.1975 ,8
1998,COL,1,CF,82,44,28,98,239,205,34,1619,14,71,375,0.1893,12,63,386, 0.1632 ,7
1998,DAL,1,SC,82,51,19,114,236,168,68,1108,8,74,393,0.1883,4,43,319, 0.1348 ,6
1998,DET,1,CSF,82,43,32,93,245,202,43,1202,10,67,415,0.1614,7,45,355, 0.1268 ,14
1998,EDM,2,CQF,82,33,37,78,230,226,4,1373,12,63,438,0.1438,10,67,374, 0.1791 ,8
1998,FLO,2,,82,30,34,78,210,228,-18,1522,18,51,380,0.1342,11,67,370, 0.1811 ,10
